1.0872 <- ,  --- 10:35:46
1.2627 <- ,  --- 10:35:46
0.791 <- ,  --- 10:35:46
0.8134 <- ,  --- 10:35:46
0.8296 <- ,  --- 10:35:46
0.8454 <- ,  --- 10:35:46
0.8635 <- ,  --- 10:35:46
0.8917 <- ,  --- 10:35:46
0.9242 <- ,  --- 10:35:46
1.4567 <- ,  --- 10:35:46
0.9026 <- ,  --- 10:35:46
0.609 <- ,  --- 10:35:46
0.625 <- ,  --- 10:35:46
0.6403 <- ,  --- 10:35:46
0.6541 <- ,  --- 10:35:46
0.9476 <- ,  --- 10:35:46
0.6682 <- ,  --- 10:35:46
1.0427 <- ,  --- 10:35:46
1.072 <- ,  --- 10:35:46
1.1038 <- ,  --- 10:35:46
0.6954 <- ,  --- 10:35:46
0.7201 <- ,  --- 10:35:46
0.7431 <- ,  --- 10:35:46
1.1301 <- ,  --- 10:35:46
1.1847 <- ,  --- 10:35:46
0.7605 <- ,  --- 10:35:46
1.2081 <- ,  --- 10:35:46
0.8077 <- ,  --- 10:35:46
1.2273 <- ,  --- 10:35:46
0.5389 <- ,  --- 10:35:46
0.8314 <- ,  --- 10:35:46
1.2115 <- ,  --- 10:35:46
1.2531 <- ,  --- 10:35:46
0.853 <- ,  --- 10:35:46

1.2477 <- ,  --- 10:35:46
0.5864 <- ,  --- 10:35:46
0.6075 <- ,  --- 10:35:46
1.3223 <- ,  --- 10:35:46
1.2554 <- ,  --- 10:35:46
0.632 <- ,  --- 10:35:46
0.6734 <- ,  --- 10:35:46
1.3977 <- ,  --- 10:35:46
0.5067 <- ,  --- 10:35:46
0.8794 <- ,  --- 10:35:46
1.4203 <- ,  --- 10:35:47
1.4938 <- ,  --- 10:35:47
1.1121 <- ,  --- 10:35:47
1.5114 <- ,  --- 10:35:47
0.857 <- ,  --- 10:35:47
0.8816 <- ,  --- 10:35:47
0.906 <- ,  --- 10:35:47
0.6902 <- ,  --- 10:35:47
0.9759 <- ,  --- 10:35:47
1.6533 <- ,  --- 10:35:47
1.6887 <- ,  --- 10:35:47
1.7081 <- ,  --- 10:35:47
1.7295 <- ,  --- 10:35:47
1.7495 <- ,  --- 10:35:47
1.1217 <- ,  --- 10:35:47
1.8071 <- ,  --- 10:35:47
0.5013 <- ,  --- 10:35:47
0.543 <- ,  --- 10:35:47
0.574 <- ,  --- 10:35:47
